ser_no,co_chg,dpt_code,dptname,cou_code,class,year,credit,forh,sel_code,cou_cname,cou_ename,tea_cname,clsrom_1,clsrom_2,daytime,mark,co_tp,co_gmark,clsrom_3,clsrom_4,clsrom_5,clsrom_6,co_select,tlec,tlab
,,9010,電機系0el,000 10001,,1 年級10,3,全年年級,必修年級,國文領域上0001_x0000_,Chinese (1),,,,一789e,參閱國文領域課程時間表總人數限100人_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,1,,,,,,,3,0
,,9010,電機系0領域,000 20001,,1 年級20,3,全年年級,必修年級,外文領域上0001間,Freshman English / Second Foreign Language (1),,,,,參閱外文領域課程時間表總人數限100人Second Foreign L,1,,,,,,,3,0
,,9010,電機系0領域,002 10030,,1 年級10,1,半年年級,必修年級,健康體適能0030間,Health Related Physical Fitness,,,,,總人數限 50人elate,1,,,,,,,0,2
06217,,9010,電機系075,201 101A1,01,1 年級10,4,全年年級,必修年級,微積分甲上01A1l,Calculus (general Mathematics) (a)(1),蔡雅如cul,新102u,,一X三67五67 (g,統一教學.大二以上限20人.一10為實習課.總人數限130人限本系所學生(含輔系、雙修生))_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,新102.,,新102.,,3,4,0
06218,,9010,電機系08大,201 101A1,02,1 年級10,4,全年年級,必修年級,微積分甲上01A1限,Calculus (general Mathematics) (a)(1),李國瑋cul,新203u,,一X三67五67 (g,統一教學.大二以上限20人.一10為實習課.總人數限130人限本系所學生(含輔系、雙修生))_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,新203.,,新203.,,3,4,0
51013,,9010,電機系03大,202 101A1,10,1 年級10,3,全年年級,必修年級,普通物理學甲上A1限20人.,General Physics (a)(1),黃宇廷era,,普201r,二34四34l ,兼通識A7*.總人數限 70人限學號末二位除３餘１限130人限本系所學生(含輔系、雙修,2,,,普2017,,,2,4,0
66184,,9010,電機系04*,202 101A1,11,1 年級10,3,全年年級,必修年級,普通物理學甲上A1數限 70,General Physics (a)(1),李文忠era,,普505r,二34四34l ,兼通識A7*.總人數限 70人限學號末二位除３餘２限130人限本系所學生(含輔系、雙修,2,,,普5057,,,2,4,0
16442,,9010,電機系02*,202 101A1,12,1 年級10,3,全年年級,必修年級,普通物理學甲上A1數限 70,General Physics (a)(1),李慶德era,,普504r,二34四34l ,電機系以外學生需經老師同意.兼通識A7*.總人數限 70人限學號末二位被３整除系、雙修生))_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,,普504外,,,2,4,0
42569,,9010,電機系09學,202 10501,09,1 年級10,1,全年年級,必修年級,普通物理學實驗上1老師同意.兼通,General Physics Lab. (1),黃宇廷era,,普物實驗一al Ph,二789一,限選修普物甲上10班者/普物實驗1總人數限 70人限本系所學生(含輔系、雙修生)且限學號末二位除３餘１_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,,,,,2,0,3
11671,,9010,電機系01甲,202 10501,10,1 年級10,1,全年年級,必修年級,普通物理學實驗上1班者/普物實驗,General Physics Lab. (1),蔡爾成era,,普物實驗二al Ph,二789二,限選修普物甲上11班者/普物實驗2總人數限 70人限本系所學生(含輔系、雙修生)且限學號末二位除３餘２_x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000__x0000_,2,,,,,,2,0,3
